ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27,Chocó,27372,Jurado,27372000,Jurado (Jurado - Chocó),2024,6,168917,56559.0,308.64,Sábado,2024-06-01 19:00:00,24.0
27,Chocó,27425,Medio Atrato,27425000,Bete (Medio Atrato - Chocó),2024,6,16199,8094.0,64.0,Miércoles,2024-06-19 12:00:00,11.39
27,Chocó,27425,Medio Atrato,27425008,San Roque (Medio Atrato - Chocó),2024,6,2241,971.0,20.47,Domingo,2024-06-30 20:15:00,5.08
27,Chocó,27495,Nuquí,27495001,Arusí (Nuquí - Choco),2024,6,18961,7124.0,60.0,Sábado,2024-06-01 12:00:00,15.3
27,Chocó,27495,Nuquí,27495011,Comunidad De Puerto Jagua (Nuquí - Chocó),2024,6,889,411.0,5.35,Lunes,2024-06-17 18:45:00,7.07
27,Chocó,27495,Nuquí,27495912,Comunidad Indígena De Panguí - El Yucal (Nuquí - Chocó),2024,6,7888,1820.0,11.5,Viernes,2024-06-28 07:15:00,23.17
27,Chocó,27495,Nuquí,27495000,Nuquí (Nuquí - Chocó),2024,6,286414,100295.0,539.26,Sábado,2024-06-01 19:45:00,23.56
27,Chocó,27001,Quibdó,27001029,Tagachi (Quibdó - Chocó),2024,6,116,31.0,18.77,Viernes,2024-06-28 15:15:00,0.24
27,Chocó,27615,Riosucio,27615011,San Jose Tamboral (Riosucio - Chocó),2024,6,465,176.0,4.33,Martes,2024-06-18 19:00:00,4.29
27,Chocó,27800,Unguía,27800005,Titumate (Unguía - Chocó),2024,6,13024,3367.0,76.65,Sábado,2024-06-01 21:45:00,7.26
27,Chocó,27800,Unguía,27800000,Unguía (Unguía - Chocó),2024,6,453004,145637.0,957.79,Viernes,2024-06-07 20:15:00,22.15
94,Guainía,94343,Barranco Minas,94343000,Barranco Minas (Barranco Minas - Guainía),2024,6,87380,28373.0,234.28,Martes,2024-06-25 17:30:00,16.11
94,Guainía,94001,Inírida,94001905,Chorro Bocon (Inírida - Guainía),2024,6,5482,444.0,19.1,Viernes,2024-06-14 19:15:00,15.59
94,Guainía,94001,Inírida,94001000,Inírida (Inírida - Guainía),2024,6,2088662,580002.0,4099.04,Martes,2024-06-18 14:30:00,24.0
44,La Guajira,44847,Uribia,44847003,Cabo De La Vela (Uribia - La Guajira),2024,6,32748,1938.0,159.45,Miércoles,2024-06-05 19:30:00,8.33
44,La Guajira,44847,Uribia,44847012,Nazareth (Uribia - La Guajira),2024,6,31835,6940.0,265.92,Viernes,2024-06-07 18:30:00,4.46
47,Magdalena,47189,Ciénaga,47189018,Palmor (Ciénaga - Magdalena),2024,6,88076,30120.0,169.22,Sábado,2024-06-01 11:45:00,23.21
