ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2024,07,3295,1109,19.8,Lunes,07/22/2024 07:45:00 PM,6.32
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2024,07,727226,207226,1561.12,Sabado,07/13/2024 09:45:00 PM,19.03
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANA (ACANDÍ - CHOCÓ),2024,07,349527,110165,817.08,Miercoles,07/03/2024 08:45:00 PM,18.45
27,CHOCÓ,27025,ALTO BAUDO,27025000,CIUDAD BAUDO - PIE DE PATO (ALTO BAUDO - CHOCÓ),2024,07,46420,16571,139.57,Domingo,07/21/2024 12:30:00 PM,17.51
27,CHOCÓ,27075,BAHÍA SOLANO,27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2024,07,879191,232126,1579.16,Lunes,07/29/2024 07:45:00 PM,23.47
27,CHOCÓ,27075,BAHÍA SOLANO,27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2024,07,196222,66893,423.19,Lunes,07/15/2024 07:15:00 PM,23.16
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2024,07,60272,18844,130.01,Lunes,07/29/2024 07:15:00 PM,22.1
27,CHOCÓ,27077,BAJO BAUDÓ,27077905,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,07,3622,1429,16.32,Miercoles,07/03/2024 11:30:00 AM,8.32
27,CHOCÓ,27077,BAJO BAUDÓ,27077029,FIRME DE USARGA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,07,730,302,7.29,Lunes,07/01/2024 07:00:00 PM,4.44
27,CHOCÓ,27077,BAJO BAUDÓ,27077026,GUINEAL (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,07,7265,4440,34.02,Lunes,07/15/2024 11:30:00 AM,10.23
27,CHOCÓ,27077,BAJO BAUDÓ,27077008,ORPUA (BAJO BAUDÓ - CHOCÓ),2024,07,942,268,7.19,Martes,07/23/2024 06:30:00 PM,8.13
27,CHOCÓ,27077,BAJO BAUDÓ,27077000,PIZARRO (BAJO BAUDÓ - CHOCÓ),2024,07,257463,99964,478.37,Lunes,07/15/2024 12:30:00 PM,23.3
27,CHOCÓ,27077,BAJO BAUDÓ,27077916,TERRON (BAJO BAUDÓ - CHOCÓ),2024,07,3828,1591,27.57,Jueves,07/25/2024 01:00:00 PM,7.03
27,CHOCÓ,27077,BAJO BAUDÓ,27077019,VIRUDO (BAJO BAUDÓ - CHOCÓ),2024,07,6922,5092,31.05,Domingo,07/21/2024 10:00:00 PM,9.12
27,CHOCÓ,27099,BOJAYÁ,27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2024,07,63749,18620,265.98,Domingo,07/07/2024 03:00:00 PM,10.39
27,CHOCÓ,27099,BOJAYÁ,27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2024,07,9539,3531,51.2,,07/20/2024 07:30:00 PM,8.1
27,CHOCÓ,27099,BOJAYÁ,27099005,NAPIPI (BOJAYÁ - CHOCÓ),2024,07,9344,2970,60.8,Domingo,07/07/2024 07:45:00 PM,6.16
27,CHOCÓ,27099,BOJAYÁ,27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2024,07,11897,3685,62.4,Martes,07/02/2024 07:00:00 PM,7.34
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCÓ),2024,07,61530,30589,245.12,Domingo,07/07/2024 07:30:00 PM,10.55
27,CHOCÓ,27372,JURADO,27372000,JURADO (JURADO - CHOCÓ),2024,07,182873,62366,351.2,Lunes,07/29/2024 08:00:00 PM,23.32
27,CHOCÓ,27425,MEDIO ATRATO,27425000,BETE (MEDIO ATRATO - CHOCÓ),2024,07,16169,7622,68,Jueves,07/11/2024 11:30:00 AM,10.34
27,CHOCÓ,27425,MEDIO ATRATO,27425008,SAN ROQUE (MEDIO ATRATO - CHOCÓ),2024,07,1666,670,22.92,Lunes,07/08/2024 08:00:00 PM,3.24
27,CHOCÓ,27495,NUQUÍ,27495001,ARUSÍ (NUQUÍ - CHOCO),2024,07,18926,7459,60,Domingo,07/14/2024 11:45:00 AM,15.06
27,CHOCÓ,27495,NUQUÍ,27495011,COMUNIDAD DE PUERTO JAGUA (NUQUÍ - CHOCÓ),2024,07,986,443,5.62,Lunes,07/08/2024 07:00:00 PM,7.12
27,CHOCÓ,27495,NUQUÍ,27495912,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2024,07,7219,2956,11.5,Jueves,07/11/2024 03:30:00 PM,22.29
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2024,07,312363,105627,575.87,Martes,07/16/2024 07:45:00 PM,23.51
27,CHOCÓ,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2024,07,462,138,18.14,Viernes,07/05/2024 08:00:00 PM,1.07
27,CHOCÓ,27800,UNGUÍA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2024,07,18007,4842,76.91,Lunes,07/22/2024 08:30:00 PM,10.29
27,CHOCÓ,27800,UNGUÍA,27800000,UNGUÍA (UNGUÍA - CHOCÓ),2024,07,508534,160237,1051.78,Lunes,07/15/2024 12:15:00 AM,22.23
94,GUAINÍA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS (BARRANCO MINAS - GUAINÍA),2024,07,87489,29752,245.59,Miercoles,07/17/2024 10:15:00 AM,15.36
94,GUAINÍA,94001,INÍRIDA,94001905,CHORRO BOCON (INÍRIDA - GUAINÍA),2024,07,5177,364,17.16,Jueves,07/25/2024 07:15:00 PM,16.04
94,GUAINÍA,94001,INÍRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2024,07,2042573,557699,3836.8,Jueves,07/25/2024 02:45:00 PM,24
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2024,07,38023,8637,262.08,Martes,07/16/2024 07:00:00 PM,5.36
47,MAGDALENA,47189,CIÉNAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2024,07,76944,27976,167.74,Domingo,07/21/2024 07:15:00 PM,21.53
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAN (MAPIRIPAN - META),2024,07,175985,58347,347.6,Lunes,07/29/2024 06:45:00 PM,23.59
52,NARIÑO,52250,EL CHARCO,52250016,ALTERÓN (URIBE URIBE) (EL CHARCO - NARIÑO),2024,07,283,177,6.14,Lunes,07/29/2024 07:15:00 PM,1.53
52,NARIÑO,52250,EL CHARCO,52250005,LAS MERCEDES (EL CHARCO - NARIÑO),2024,07,1211,851,8.8,Sabado,07/06/2024 09:30:00 PM,5.37
